Linux 3.16.0-4-amd64 (debian-1) 	07/19/2017 	_x86_64_	(1 CPU)

10:41:56 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
10:43:23 PM  1001     10050    1.01    0.00    0.00    1.01     0  wget
10:43:24 PM  1001     10050    1.03    0.00    0.00    1.03     0  wget
10:43:25 PM  1001     10050    1.10    3.30    0.00    4.40     0  wget
10:43:26 PM  1001     10050    1.02    3.06    0.00    4.08     0  wget
10:43:27 PM  1001     10050    1.05    2.11    0.00    3.16     0  wget
10:43:28 PM  1001     10050    2.06    3.09    0.00    5.15     0  wget
10:43:29 PM  1001     10050    2.11    1.05    0.00    3.16     0  wget
10:43:30 PM  1001     10050    1.02    2.04    0.00    3.06     0  wget
10:43:31 PM  1001     10050    1.05    1.05    0.00    2.11     0  wget
10:43:32 PM  1001     10050    2.02    1.01    0.00    3.03     0  wget
10:43:33 PM  1001     10050    1.03    2.06    0.00    3.09     0  wget
10:43:34 PM  1001     10050    1.05    2.11    0.00    3.16     0  wget
10:43:35 PM  1001     10050    0.00    3.03    0.00    3.03     0  wget
10:43:36 PM  1001     10050    1.08    3.23    0.00    4.30     0  wget
10:43:37 PM  1001     10050    1.04    4.17    0.00    5.21     0  wget
10:43:38 PM  1001     10050    3.09    1.03    0.00    4.12     0  wget
10:43:39 PM  1001     10050    1.02    2.04    0.00    3.06     0  wget
10:43:40 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:43:41 PM  1001     10050    2.08    2.08    0.00    4.17     0  wget
10:43:42 PM  1001     10050    1.01    3.03    0.00    4.04     0  wget
10:43:43 PM  1001     10050    3.19    2.13    0.00    5.32     0  wget
10:43:44 PM  1001     10050    2.13    4.26    0.00    6.38     0  wget
10:43:45 PM  1001     10050    0.00    4.12    0.00    4.12     0  wget
10:43:46 PM  1001     10050    3.12    1.04    0.00    4.17     0  wget
10:43:47 PM  1001     10050    1.05    4.21    0.00    5.26     0  wget
10:43:48 PM  1001     10050    3.09    2.06    0.00    5.15     0  wget
10:43:49 PM  1001     10050    2.15    4.30    0.00    6.45     0  wget
10:43:50 PM  1001     10050    3.16    3.16    0.00    6.32     0  wget
10:43:51 PM  1001     10050    2.17    5.43    0.00    7.61     0  wget
10:43:52 PM  1001     10050    3.12    4.17    0.00    7.29     0  wget
10:43:53 PM  1001     10050    1.09    6.52    0.00    7.61     0  wget
10:43:54 PM  1001     10050    4.21    3.16    0.00    7.37     0  wget
10:43:55 PM  1001     10050    1.04    5.21    0.00    6.25     0  wget
10:43:56 PM  1001     10050    3.19    3.19    0.00    6.38     0  wget
10:43:57 PM  1001     10050    4.26    3.19    0.00    7.45     0  wget
10:43:58 PM  1001     10050    4.21    3.16    0.00    7.37     0  wget
10:43:59 PM  1001     10050    3.33    5.56    0.00    8.89     0  wget
10:44:00 PM  1001     10050    3.16    5.26    0.00    8.42     0  wget
10:44:01 PM  1001     10050    3.19    5.32    0.00    8.51     0  wget
10:44:02 PM  1001     10050    3.09    6.19    0.00    9.28     0  wget
10:44:03 PM  1001     10050    2.22    3.33    0.00    5.56     0  wget
10:44:04 PM  1001     10050    5.56    2.22    0.00    7.78     0  wget
10:44:05 PM  1001     10050    3.23    1.08    0.00    4.30     0  wget
10:44:06 PM  1001     10050    1.03    4.12    0.00    5.15     0  wget
10:44:07 PM  1001     10050    3.12    0.00    0.00    3.12     0  wget
10:44:08 PM  1001     10050    2.11    4.21    0.00    6.32     0  wget
10:44:09 PM  1001     10050    3.12    2.08    0.00    5.21     0  wget
10:44:10 PM  1001     10050    1.05    3.16    0.00    4.21     0  wget
10:44:11 PM  1001     10050    2.15    3.23    0.00    5.38     0  wget
10:44:12 PM  1001     10050    2.13    2.13    0.00    4.26     0  wget
10:44:13 PM  1001     10050    1.01    4.04    0.00    5.05     0  wget
10:44:14 PM  1001     10050    2.15    4.30    0.00    6.45     0  wget
10:44:15 PM  1001     10050    1.11    4.44    0.00    5.56     0  wget
10:44:16 PM  1001     10050    2.08    2.08    0.00    4.17     0  wget
10:44:17 PM  1001     10050    2.08    2.08    0.00    4.17     0  wget
10:44:18 PM  1001     10050    2.08    4.17    0.00    6.25     0  wget
10:44:19 PM  1001     10050    0.00    1.04    0.00    1.04     0  wget
10:44:20 PM  1001     10050    2.13    3.19    0.00    5.32     0  wget
10:44:21 PM  1001     10050    1.06    2.13    0.00    3.19     0  wget
10:44:22 PM  1001     10050    3.06    2.04    0.00    5.10     0  wget
10:44:23 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:44:24 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:44:25 PM  1001     10050    3.26    2.17    0.00    5.43     0  wget
10:44:26 PM  1001     10050    3.12    2.08    0.00    5.21     0  wget
10:44:27 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:44:28 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:44:29 PM  1001     10050    2.04    2.04    0.00    4.08     0  wget
10:44:30 PM  1001     10050    2.08    3.12    0.00    5.21     0  wget
10:44:31 PM  1001     10050    3.16    3.16    0.00    6.32     0  wget
10:44:32 PM  1001     10050    3.16    4.21    0.00    7.37     0  wget
10:44:33 PM  1001     10050    4.26    2.13    0.00    6.38     0  wget
10:44:34 PM  1001     10050    1.05    5.26    0.00    6.32     0  wget
10:44:35 PM  1001     10050    3.09    5.15    0.00    8.25     0  wget
10:44:36 PM  1001     10050    4.44    5.56    0.00   10.00     0  wget
10:44:37 PM  1001     10050    4.17    6.25    0.00   10.42     0  wget
10:44:38 PM  1001     10050    1.08    5.38    0.00    6.45     0  wget
10:44:39 PM  1001     10050    2.11    2.11    0.00    4.21     0  wget
10:44:40 PM  1001     10050    4.21    2.11    0.00    6.32     0  wget
10:44:41 PM  1001     10050    1.06    4.26    0.00    5.32     0  wget
10:44:42 PM  1001     10050    2.13    4.26    0.00    6.38     0  wget
10:44:43 PM  1001     10050    2.13    3.19    0.00    5.32     0  wget
10:44:44 PM  1001     10050    4.26    2.13    0.00    6.38     0  wget
10:44:45 PM  1001     10050    2.08    4.17    0.00    6.25     0  wget
10:44:46 PM  1001     10050    3.19    3.19    0.00    6.38     0  wget
10:44:47 PM  1001     10050    3.16    3.16    0.00    6.32     0  wget
10:44:48 PM  1001     10050    2.11    3.16    0.00    5.26     0  wget
10:44:49 PM  1001     10050    2.08    4.17    0.00    6.25     0  wget
10:44:50 PM  1001     10050    2.08    3.12    0.00    5.21     0  wget
10:44:51 PM  1001     10050    2.06    2.06    0.00    4.12     0  wget
10:44:52 PM  1001     10050    3.09    2.06    0.00    5.15     0  wget
10:44:53 PM  1001     10050    3.19    4.26    0.00    7.45     0  wget
10:44:54 PM  1001     10050    2.08    3.12    0.00    5.21     0  wget
10:44:55 PM  1001     10050    4.21    4.21    0.00    8.42     0  wget
10:44:56 PM  1001     10050    3.30    4.40    0.00    7.69     0  wget
10:44:57 PM  1001     10050    4.44    3.33    0.00    7.78     0  wget
10:44:58 PM  1001     10050    2.04    3.06    0.00    5.10     0  wget
10:44:59 PM  1001     10050    3.19    3.19    0.00    6.38     0  wget
10:45:00 PM  1001     10050    2.11    4.21    0.00    6.32     0  wget
10:45:01 PM  1001     10050    2.08    3.12    0.00    5.21     0  wget
10:45:02 PM  1001     10050    2.06    1.03    0.00    3.09     0  wget
10:45:03 PM  1001     10050    2.13    3.19    0.00    5.32     0  wget
10:45:04 PM  1001     10050    3.16    2.11    0.00    5.26     0  wget
10:45:05 PM  1001     10050    3.16    4.21    0.00    7.37     0  wget
10:45:06 PM  1001     10050    3.19    2.13    0.00    5.32     0  wget
